
** ArgonMD **

 Box Units : 5
 No. Time Steps : 100000
 Initial Temp [K] : 80.0  
 Neigh Update Freq : 20
 Thermo Print Freq : 1000
 Coord Dump Freq : 1000

 Time Step [ps] : 0.001
 Cutoff Dist [Ang] : 8.760
 Cell Par [Ang] : 5.795
 Box Length [Ang] : 28.975 
 No. Atoms : 500

      Step    Time[ps]   Temp[K]      Ekin[eV]      Epot[eV]      Etot[eV]    Clock[s]
     80000      80.000    41.410  +0.005341915  -0.067271589  -0.061929674      44.323
     81000      81.000    43.583  +0.005622237  -0.067528399  -0.061906161      44.919
     82000      82.000    43.302  +0.005586037  -0.067485914  -0.061899877      45.460
     83000      83.000    42.558  +0.005490039  -0.067397867  -0.061907828      46.027
     84000      84.000    43.794  +0.005649541  -0.067550765  -0.061901224      46.589
     85000      85.000    42.395  +0.005469014  -0.067380821  -0.061911807      47.144
     86000      86.000    42.618  +0.005497793  -0.067412913  -0.061915120      47.696
     87000      87.000    41.607  +0.005367358  -0.067291085  -0.061923726      48.224
     88000      88.000    42.705  +0.005509019  -0.067393362  -0.061884343      48.753
     89000      89.000    42.246  +0.005449800  -0.067357317  -0.061907517      49.280
     90000      90.000    43.293  +0.005584928  -0.067488811  -0.061903883      49.872
     91000      91.000    44.327  +0.005718220  -0.067615811  -0.061897592      50.434
     92000      92.000    43.649  +0.005630791  -0.067534677  -0.061903886      50.978
     93000      93.000    40.150  +0.005179434  -0.067092593  -0.061913159      51.522
     94000      94.000    42.308  +0.005457793  -0.067371262  -0.061913469      52.117
     95000      95.000    44.185  +0.005699996  -0.067596914  -0.061896918      52.706
     96000      96.000    42.601  +0.005495584  -0.067410040  -0.061914456      53.279
     97000      97.000    42.592  +0.005494400  -0.067389325  -0.061894925      53.836
     98000      98.000    43.049  +0.005553402  -0.067488384  -0.061934982      54.407
     99000      99.000    43.143  +0.005565457  -0.067478599  -0.061913142      54.964
    100000     100.000    40.646  +0.005243450  -0.067161549  -0.061918099      55.525
